id,title,search_word,condition,listing_type_id,category_id,domain_id,price,available_quantity,shipping.free_shipping,seller.id,seller.nickname,BRAND,GTIN,WEIGHT
MLA1241710307,Google Chromecast With Google Tv De Voz Hd 8gb 2gb Ram,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,96299.0,1,True,471469475,LMJ TECNOLOGIA,Google,,112 g
MLA1690151166,Chromecast 4 Hd Soy Gamer ,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,137500.0,1,True,191179311,SOYGAMERARGENTINA,Google,,0.063 kg
MLA1817740270,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,119000.0,1,True,13404008,NUBEL EMPRENDIMIENTOS,Google,,1 kg
MLA1337977281,Chromecast 4 Google Tv Full Hd 8gb Last Version Con Cargador,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,147234.21,1,True,247639927,RAPIDA_ENTREGA_,Google,,1 kg
MLA1324463415,Chromecast Google Ga03131 Tv Hd 8gb Blanco Control !,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,159990.0,150,True,61852079,INTEGRADOS ARGENTINOS,Google,,0.055 kg
MLA1805399588,Google Chromecast With Google Tv 4k - Snow ,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,146000.0,1,True,514993402,CX-INSUMOS,Google,,63 g
MLA1434758181,Chromecast Google Tv Hd Ga03131-us 4ta Generación,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,120000.0,1,True,13404008,NUBEL EMPRENDIMIENTOS,Google,,
MLA1419641054,Chromecast With Google Tv De Voz 4k 8gb Snow 2gb Ram,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,125999.0,1,True,1250965884,DIPROSTORE,Google,,63 g
MLA1439674911,Chromecast Google Ga03131-us Tv Hd 8gb 2gb Ram 4ta Gen Blanc,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,118000.0,1,True,1700544857,TSVENTAS,Google,,
MLA1548495628,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps 4ta Gen Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,131999.0,250,True,96270679,LAMEJORSOLUCION,Google,,
MLA1337713412,Chromecast 4° C/ Google Tv Full Hd 8gb + Cargador 220,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,198650.15,1,True,247639927,RAPIDA_ENTREGA_,Google,,
MLA1129900183,Google Tv + Chromecast Control De Voz 4k 8gb Fuente 220v,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,186963.53,1,True,247639927,RAPIDA_ENTREGA_,Google,019357543429,0.3 g
MLA1398611880,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco Vdgmrs,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,112780.0,1,True,69608343,VIDEOGAMERS_,Google,,1 kg
MLA1432532563,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps 4ta Gen,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,120000.0,1,True,211194289,SCNI4333427,Google,,0.063 kg
MLA1439172737,Chromecast With Google Tv - 4ª Generación 4k 8gb Control Voz,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,131900.0,1,True,59208154,CMARIGIOLI,Google,,
MLA1542125668,Google Chromecast 4 Con Google Tv Hd Wi-fi Control Remoto,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,191799.0,50,True,192769857,NOVOGAR,Google,,292 g
MLA1834195118,Google Chromecast 4 Generación Con Google Tv Hd Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,140000.0,1,True,1848459588,DINASTIAR,Google,,112 g
MLA906961402, Chromecast 4ta Generacion Google Tv 4k Control De Voz 8gb,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,149999.0,1,True,482880972,MAGATEKNO,Google,,0.3 g
MLA1817753632,Google Chromecast 4ta Genereación Con Google Tv Hd - Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,120000.0,1,True,13404008,NUBEL EMPRENDIMIENTOS,Google,,1 kg
